file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00032_03549.500-03550.850,ཕར་ཆེར་འདི་རྩོད་བཟློག་ཡིན་པ་ཡོད་ ,phar cher 'di rtsod bzlog yin pa yod _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03549.500-03550.850.wav,STT_TT,3,33,1.349999999999909,wav16k/STT_TT00032_03549.500-03550.850.wav,ཕལ་ཆེར་འདི་རྩོད་ཟློག་ཡིན་པ་ཡོད་
STT_TT00032_03551.750-03552.800,དངོས་སྨྲ་བ་ལ་ཡར་ ,dngos smra ba la yar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03551.750-03552.800.wav,STT_TT,3,17,1.050000000000182,wav16k/STT_TT00032_03551.750-03552.800.wav,དངོས་སྨྲ་བ་ལ་ཡ་
STT_TT00032_03552.950-03553.750,ཕར་ཕར་ ,phar phar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03552.950-03553.750.wav,STT_TT,3,7,0.8000000000001819,wav16k/STT_TT00032_03552.950-03553.750.wav,ཕར་ཕར་
STT_TT00032_03578.500-03580.400,གལ་ཏེ་དངོས་རྣམས་རང་བཞིན་ལས།  ,gal te dngos rnams rang bzhin las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03578.500-03580.400.wav,STT_TT,3,29,1.900000000000091,wav16k/STT_TT00032_03578.500-03580.400.wav,གལ་ཏེ་དངོས་རྣམས་རང་བཞིན་ལས།
STT_TT00032_03580.550-03582.100,ཡོད་པར་རྗེས་སུ་ལྟ་བྱས་ན།  ,yod par rjes su lta byas na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03580.550-03582.100.wav,STT_TT,3,26,1.5499999999997272,wav16k/STT_TT00032_03580.550-03582.100.wav,ཡོད་པར་རྗེས་སུ་ལྟ་བྱེད་ན།
STT_TT00032_03582.400-03585.800,དེ་ལྟར་ནང་ནས་དངོས་པོ་ཀུན། རྒྱུ་རྐྱེན་མེད་པར་ཁྱོད་ལྟ་འོ། བྱས་གསུངས་འདུག་ག་ ,de ltar nang nas dngos po kun/_rgyu rkyen med par khyod lta 'o/_byas gsungs 'dug ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03582.400-03585.800.wav,STT_TT,3,74,3.400000000000091,wav16k/STT_TT00032_03582.400-03585.800.wav,དེ་ལྟར་ན་ནི་དངོས་པོ་ཀུན། རྒྱུ་རྐྱེན་མེད་པར་ཁྱོད་ལྟའོ། ས་ནས་གསུངས་འདུག་ག
STT_TT00032_03586.650-03588.050,དངོས་པོ་རང་བཞིན་ལས་ཡོད་ན་ ,dngos po rang bzhin las yod na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03586.650-03588.050.wav,STT_TT,3,26,1.400000000000091,wav16k/STT_TT00032_03586.650-03588.050.wav,དངོས་པོ་རང་བཞིན་ལས་ཡོད་ན་
STT_TT00032_03588.300-03589.200,རང་དབང་གིས་ཡོད་པ་རེད་ ,rang dbang gis yod pa red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03588.300-03589.200.wav,STT_TT,3,22,0.8999999999996362,wav16k/STT_TT00032_03588.300-03589.200.wav,རང་དབང་གིས་ཡོད་པ་རེད་
STT_TT00032_03589.700-03591.000,ཨེ་ནི་གཞན་ལ་ལྟོས་མི་དགོས་པ་རེད་ ,e ni gzhan la ltos mi dgos pa red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03589.700-03591.000.wav,STT_TT,3,32,1.300000000000182,wav16k/STT_TT00032_03589.700-03591.000.wav,ཨ་ནི་གཞན་ལ་ལྟོས་མི་དགོས་པ་རེད་
STT_TT00032_03591.200-03595.000,གཞན་ལ་ལྟོས་མི་དགོས་ན་རྒྱུ་རྐྱེན་ལ་ལྟོས་མི་དགོས་ཀྱི་མ་རེད་ཨེ་ནི་རྒྱུ་རྐྱེན་བརྟེན་དགོས་ཀྱི་མ་རེད་ ,gzhan la ltos mi dgos na rgyu rkyen la ltos mi dgos kyi ma red e ni rgyu rkyen brten dgos kyi ma red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00032_03591.200-03595.000.wav,STT_TT,3,96,3.800000000000182,wav16k/STT_TT00032_03591.200-03595.000.wav,གཞན་ལ་ལྟོས་མི་དགོས་ན་རྒྱུ་རྐྱེན་ལ་ལྟོས་དགོས་ཀྱི་མ་རེད།ཨ་ནི་རྒྱུ་རྐྱེན་ལ་བརྟེན་དགོས་ཀྱི་མ་རེད།
